timestamp,aam_total_kg_m2_s
2020-01-01 00:00:00,1.7773123622915078e+26
2020-01-01 06:00:00,1.7609357457456422e+26
2020-01-01 12:00:00,1.7683445622827243e+26
2020-01-01 18:00:00,1.756925434491132e+26
2020-01-02 00:00:00,1.761094543293653e+26
2020-01-02 06:00:00,1.7472657934390952e+26
2020-01-02 12:00:00,1.7522211672935334e+26
2020-01-02 18:00:00,1.7415381555088254e+26
2020-01-03 00:00:00,1.7415830732218183e+26
2020-01-03 06:00:00,1.729609880012191e+26
2020-01-03 12:00:00,1.7350745310454488e+26
2020-01-03 18:00:00,1.730444909464341e+26
2020-01-04 00:00:00,1.73193922694217e+26
2020-01-04 06:00:00,1.7231075407254314e+26
2020-01-04 12:00:00,1.727896651010782e+26
2020-01-04 18:00:00,1.7183052512442633e+26
2020-01-05 00:00:00,1.7102412607822907e+26
2020-01-05 06:00:00,1.697327274906635e+26
2020-01-05 12:00:00,1.69631905618372e+26
2020-01-05 18:00:00,1.6858164798671136e+26
2020-01-06 00:00:00,1.6840771031407398e+26
2020-01-06 06:00:00,1.6635753796118042e+26
2020-01-06 12:00:00,1.6642213707916745e+26
2020-01-06 18:00:00,1.6516909406970594e+26
2020-01-07 00:00:00,1.648477178775877e+26
2020-01-07 06:00:00,1.6351838720698246e+26
2020-01-07 12:00:00,1.646090707696406e+26
2020-01-07 18:00:00,1.646190091919433e+26
2020-01-08 00:00:00,1.6458421136879516e+26
2020-01-08 06:00:00,1.638663386393217e+26
2020-01-08 12:00:00,1.6407740138484347e+26
2020-01-08 18:00:00,1.6322205665031075e+26
2020-01-09 00:00:00,1.6258178584603363e+26
2020-01-09 06:00:00,1.6064617099328746e+26
2020-01-09 12:00:00,1.605857433420581e+26
2020-01-09 18:00:00,1.595705802416016e+26
2020-01-10 00:00:00,1.5922661827574996e+26
2020-01-10 06:00:00,1.5815617442775702e+26
2020-01-10 12:00:00,1.5894799893046956e+26
2020-01-10 18:00:00,1.585190465775434e+26
2020-01-11 00:00:00,1.5903489705266298e+26
2020-01-11 06:00:00,1.582410544977401e+26
2020-01-11 12:00:00,1.597148503630471e+26
2020-01-11 18:00:00,1.5963357697986214e+26
2020-01-12 00:00:00,1.6119121995702068e+26
2020-01-12 06:00:00,1.613239645832108e+26
2020-01-12 12:00:00,1.627547554106247e+26
2020-01-12 18:00:00,1.6292875746584093e+26
2020-01-13 00:00:00,1.6421873412253577e+26
2020-01-13 06:00:00,1.6412035705701176e+26
2020-01-13 12:00:00,1.6679378181909406e+26
2020-01-13 18:00:00,1.670948130542914e+26
2020-01-14 00:00:00,1.6901841433459705e+26
2020-01-14 06:00:00,1.692454905090101e+26
2020-01-14 12:00:00,1.7105478576915486e+26
2020-01-14 18:00:00,1.7177199730912548e+26
2020-01-15 00:00:00,1.7314486615070676e+26
2020-01-15 06:00:00,1.7325655822088813e+26
2020-01-15 12:00:00,1.7461276931764682e+26
2020-01-15 18:00:00,1.752543727084466e+26
2020-01-16 00:00:00,1.7721550794944465e+26
2020-01-16 06:00:00,1.7776040404003436e+26
2020-01-16 12:00:00,1.7968745147030545e+26
2020-01-16 18:00:00,1.815388548408765e+26
2020-01-17 00:00:00,1.8410583076982803e+26
2020-01-17 06:00:00,1.8466064280755363e+26
2020-01-17 12:00:00,1.874443382832181e+26
2020-01-17 18:00:00,1.880771181448796e+26
2020-01-18 00:00:00,1.897588251547561e+26
2020-01-18 06:00:00,1.8980160085128734e+26
2020-01-18 12:00:00,1.9151812674107998e+26
2020-01-18 18:00:00,1.9247490673794384e+26
2020-01-19 00:00:00,1.9411783224975605e+26
2020-01-19 06:00:00,1.93806403784939e+26
2020-01-19 12:00:00,1.9467773455258285e+26
2020-01-19 18:00:00,1.945231702655005e+26
2020-01-20 00:00:00,1.9640070862530323e+26
2020-01-20 06:00:00,1.9560724750662725e+26
2020-01-20 12:00:00,1.9684320531928495e+26
2020-01-20 18:00:00,1.962667613792577e+26
2020-01-21 00:00:00,1.978473922793048e+26
2020-01-21 06:00:00,1.9618632532770223e+26
2020-01-21 12:00:00,1.9704869793122656e+26
2020-01-21 18:00:00,1.954349183257958e+26
2020-01-22 00:00:00,1.9670931344019054e+26
2020-01-22 06:00:00,1.9452642348887597e+26
2020-01-22 12:00:00,1.9502882065312467e+26
2020-01-22 18:00:00,1.9267200041447736e+26
2020-01-23 00:00:00,1.924597314217053e+26
2020-01-23 06:00:00,1.9038256189283986e+26
2020-01-23 12:00:00,1.9112980244209125e+26
2020-01-23 18:00:00,1.897865517042275e+26
2020-01-24 00:00:00,1.905736115445505e+26
2020-01-24 06:00:00,1.895589394999248e+26
2020-01-24 12:00:00,1.915548764775939e+26
2020-01-24 18:00:00,1.9093335441335343e+26
2020-01-25 00:00:00,1.9127824927259525e+26
2020-01-25 06:00:00,1.897878183477559e+26
2020-01-25 12:00:00,1.907614285814902e+26
2020-01-25 18:00:00,1.8993336218331965e+26
2020-01-26 00:00:00,1.9013909435699787e+26
2020-01-26 06:00:00,1.887171739273299e+26
2020-01-26 12:00:00,1.887035854468236e+26
2020-01-26 18:00:00,1.8793269320431287e+26
2020-01-27 00:00:00,1.876725462311901e+26
2020-01-27 06:00:00,1.8674328106238552e+26
2020-01-27 12:00:00,1.8707965345936995e+26
2020-01-27 18:00:00,1.867424585516932e+26
2020-01-28 00:00:00,1.874661612120483e+26
2020-01-28 06:00:00,1.8663969595760803e+26
2020-01-28 12:00:00,1.874290352008409e+26
2020-01-28 18:00:00,1.868972710549528e+26
2020-01-29 00:00:00,1.864736184444145e+26
2020-01-29 06:00:00,1.8487354164426045e+26
2020-01-29 12:00:00,1.8455510428947213e+26
2020-01-29 18:00:00,1.8376750235242475e+26
2020-01-30 00:00:00,1.836217792263504e+26
2020-01-30 06:00:00,1.821876356275698e+26
2020-01-30 12:00:00,1.821351264941794e+26
2020-01-30 18:00:00,1.8109454808176217e+26
2020-01-31 00:00:00,1.8014871402906623e+26
2020-01-31 06:00:00,1.7851058910120965e+26
2020-01-31 12:00:00,1.784772634266957e+26
2020-01-31 18:00:00,1.7719469903083236e+26
2020-02-01 00:00:00,1.7727447151720867e+26
2020-02-01 06:00:00,1.7562945168599133e+26
2020-02-01 12:00:00,1.758473573848787e+26
2020-02-01 18:00:00,1.746782511665929e+26
2020-02-02 00:00:00,1.7421313590038346e+26
2020-02-02 06:00:00,1.7259964013948615e+26
2020-02-02 12:00:00,1.72969190895383e+26
2020-02-02 18:00:00,1.7183761345420336e+26
2020-02-03 00:00:00,1.7246902126844217e+26
2020-02-03 06:00:00,1.7099869369997125e+26
2020-02-03 12:00:00,1.713144455627408e+26
2020-02-03 18:00:00,1.7062248534096263e+26
2020-02-04 00:00:00,1.708024401564653e+26
2020-02-04 06:00:00,1.691511109321486e+26
2020-02-04 12:00:00,1.700360184577682e+26
2020-02-04 18:00:00,1.6858405371938655e+26
2020-02-05 00:00:00,1.6866593369716984e+26
2020-02-05 06:00:00,1.6683473381429242e+26
2020-02-05 12:00:00,1.677045968958637e+26
2020-02-05 18:00:00,1.6632875709555065e+26
2020-02-06 00:00:00,1.666648118963514e+26
2020-02-06 06:00:00,1.6474838926661618e+26
2020-02-06 12:00:00,1.6515992308582818e+26
2020-02-06 18:00:00,1.640037692030262e+26
2020-02-07 00:00:00,1.650149945625062e+26
2020-02-07 06:00:00,1.6332169013352008e+26
2020-02-07 12:00:00,1.646737737231221e+26
2020-02-07 18:00:00,1.639382217124448e+26
2020-02-08 00:00:00,1.6393334840143286e+26
2020-02-08 06:00:00,1.625641281321227e+26
2020-02-08 12:00:00,1.639448090789142e+26
2020-02-08 18:00:00,1.63791092542735e+26
2020-02-09 00:00:00,1.644570192237537e+26
2020-02-09 06:00:00,1.6369067179742852e+26
2020-02-09 12:00:00,1.6463314211158742e+26
2020-02-09 18:00:00,1.644423570040775e+26
2020-02-10 00:00:00,1.6482319278359105e+26
2020-02-10 06:00:00,1.6378932299370258e+26
2020-02-10 12:00:00,1.642993463342162e+26
2020-02-10 18:00:00,1.641913671965558e+26
2020-02-11 00:00:00,1.6475756987886405e+26
2020-02-11 06:00:00,1.6354176063350418e+26
2020-02-11 12:00:00,1.6423798013394392e+26
2020-02-11 18:00:00,1.6344042306709932e+26
2020-02-12 00:00:00,1.6350337897708075e+26
2020-02-12 06:00:00,1.617512317145736e+26
2020-02-12 12:00:00,1.619843181879422e+26
2020-02-12 18:00:00,1.6129600785492112e+26
2020-02-13 00:00:00,1.6137763758745378e+26
2020-02-13 06:00:00,1.6022165742130898e+26
2020-02-13 12:00:00,1.6171819813418318e+26
2020-02-13 18:00:00,1.6101695846342015e+26
2020-02-14 00:00:00,1.6170221697870265e+26
2020-02-14 06:00:00,1.608613443544166e+26
2020-02-14 12:00:00,1.614159324850984e+26
2020-02-14 18:00:00,1.612748936640215e+26
2020-02-15 00:00:00,1.625150353614096e+26
2020-02-15 06:00:00,1.6158608371663707e+26
2020-02-15 12:00:00,1.6259961861922372e+26
2020-02-15 18:00:00,1.622454970230496e+26
2020-02-16 00:00:00,1.632710310025711e+26
2020-02-16 06:00:00,1.6193932441277662e+26
2020-02-16 12:00:00,1.6253743560737755e+26
2020-02-16 18:00:00,1.617012343007326e+26
2020-02-17 00:00:00,1.629919683039898e+26
2020-02-17 06:00:00,1.6192174265382126e+26
2020-02-17 12:00:00,1.6301425640080027e+26
2020-02-17 18:00:00,1.6267726591707524e+26
2020-02-18 00:00:00,1.6378841441735266e+26
2020-02-18 06:00:00,1.6255997171157102e+26
2020-02-18 12:00:00,1.635722367635861e+26
2020-02-18 18:00:00,1.6419037345328693e+26
2020-02-19 00:00:00,1.6542947444259664e+26
2020-02-19 06:00:00,1.650101446196057e+26
2020-02-19 12:00:00,1.663113764680357e+26
2020-02-19 18:00:00,1.664706544610586e+26
2020-02-20 00:00:00,1.672017836293318e+26
2020-02-20 06:00:00,1.6658790837608046e+26
2020-02-20 12:00:00,1.6806986447385e+26
2020-02-20 18:00:00,1.6835538522399778e+26
2020-02-21 00:00:00,1.7036146396232687e+26
2020-02-21 06:00:00,1.7091776543798978e+26
2020-02-21 12:00:00,1.7276997840764868e+26
2020-02-21 18:00:00,1.7342740991343197e+26
2020-02-22 00:00:00,1.7512205762796464e+26
2020-02-22 06:00:00,1.7532929764348687e+26
2020-02-22 12:00:00,1.7752162165112366e+26
2020-02-22 18:00:00,1.7756229859424903e+26
2020-02-23 00:00:00,1.7820548876018535e+26
2020-02-23 06:00:00,1.7767239743239278e+26
2020-02-23 12:00:00,1.78815437301169e+26
2020-02-23 18:00:00,1.7880579096554594e+26
2020-02-24 00:00:00,1.798042666072202e+26
2020-02-24 06:00:00,1.788581461191837e+26
2020-02-24 12:00:00,1.7915781254240925e+26
2020-02-24 18:00:00,1.7842984998927178e+26
2020-02-25 00:00:00,1.784192440896664e+26
2020-02-25 06:00:00,1.7686313362176074e+26
2020-02-25 12:00:00,1.769821716659427e+26
2020-02-25 18:00:00,1.7634218296158487e+26
2020-02-26 00:00:00,1.770316221841022e+26
2020-02-26 06:00:00,1.7634403898783315e+26
2020-02-26 12:00:00,1.7785371878657783e+26
2020-02-26 18:00:00,1.7804098093260266e+26
2020-02-27 00:00:00,1.7890770683832013e+26
2020-02-27 06:00:00,1.7820235714103836e+26
2020-02-27 12:00:00,1.790006667515532e+26
2020-02-27 18:00:00,1.7894972611226505e+26
2020-02-28 00:00:00,1.79470615113866e+26
2020-02-28 06:00:00,1.7835357609764226e+26
2020-02-28 12:00:00,1.7917771728959067e+26
2020-02-28 18:00:00,1.7861013634048986e+26
2020-02-29 00:00:00,1.7950061383380135e+26
2020-02-29 06:00:00,1.7870886740078612e+26
2020-02-29 12:00:00,1.7878121987089133e+26
2020-02-29 18:00:00,1.7871240104946724e+26
2020-03-01 00:00:00,1.794378180852428e+26
2020-03-01 06:00:00,1.78412833604573e+26
2020-03-01 12:00:00,1.7959831768265243e+26
2020-03-01 18:00:00,1.7922048968235208e+26
2020-03-02 00:00:00,1.7928310426595406e+26
2020-03-02 06:00:00,1.783921646565167e+26
2020-03-02 12:00:00,1.7980767951264444e+26
2020-03-02 18:00:00,1.7941276143885313e+26
2020-03-03 00:00:00,1.802614212045954e+26
2020-03-03 06:00:00,1.7957135060754564e+26
2020-03-03 12:00:00,1.815792378444868e+26
2020-03-03 18:00:00,1.8181162941796943e+26
2020-03-04 00:00:00,1.8389091086216052e+26
2020-03-04 06:00:00,1.8325988630761908e+26
2020-03-04 12:00:00,1.8482239791214093e+26
2020-03-04 18:00:00,1.843307920036216e+26
2020-03-05 00:00:00,1.8503040008908896e+26
2020-03-05 06:00:00,1.8424182825894693e+26
2020-03-05 12:00:00,1.8536604593862063e+26
2020-03-05 18:00:00,1.8520289781982507e+26
2020-03-06 00:00:00,1.855515226142925e+26
2020-03-06 06:00:00,1.843164165924209e+26
2020-03-06 12:00:00,1.844856544651452e+26
2020-03-06 18:00:00,1.8388194338575545e+26
2020-03-07 00:00:00,1.839766900021466e+26
2020-03-07 06:00:00,1.8254716067761883e+26
2020-03-07 12:00:00,1.8224849083958623e+26
2020-03-07 18:00:00,1.8149325532297097e+26
2020-03-08 00:00:00,1.8118230448849134e+26
2020-03-08 06:00:00,1.798609304816288e+26
2020-03-08 12:00:00,1.7984322075491816e+26
2020-03-08 18:00:00,1.792990500313234e+26
2020-03-09 00:00:00,1.788344987076966e+26
2020-03-09 06:00:00,1.7874650727701267e+26
2020-03-09 12:00:00,1.7907599786493782e+26
2020-03-09 18:00:00,1.791745839068002e+26
2020-03-10 00:00:00,1.8059622162025788e+26
2020-03-10 06:00:00,1.804986984132533e+26
2020-03-10 12:00:00,1.8159005172913053e+26
2020-03-10 18:00:00,1.814705258617176e+26
2020-03-11 00:00:00,1.8180700206795207e+26
2020-03-11 06:00:00,1.804473001203568e+26
2020-03-11 12:00:00,1.7987144849590508e+26
2020-03-11 18:00:00,1.7878566546281465e+26
2020-03-12 00:00:00,1.7830698883372438e+26
2020-03-12 06:00:00,1.7635773801476854e+26
2020-03-12 12:00:00,1.7682048210597507e+26
2020-03-12 18:00:00,1.7621319456469664e+26
2020-03-13 00:00:00,1.7634247931361358e+26
2020-03-13 06:00:00,1.7511028178137312e+26
2020-03-13 12:00:00,1.7636129183325576e+26
2020-03-13 18:00:00,1.7617933860548155e+26
2020-03-14 00:00:00,1.7735255762493814e+26
2020-03-14 06:00:00,1.7659248250739128e+26
2020-03-14 12:00:00,1.776496501984293e+26
2020-03-14 18:00:00,1.772926264875065e+26
2020-03-15 00:00:00,1.7806325311319297e+26
