timestamp,member,aam_total_kg_m2_s
2025-10-16 00:00:00,1,1.3160257882583061e+26
2025-10-16 00:00:00,2,1.3214018471245743e+26
2025-10-16 00:00:00,3,1.3173357209340856e+26
2025-10-16 00:00:00,4,1.3160365086487743e+26
2025-10-16 00:00:00,5,1.3178463684786732e+26
2025-10-16 00:00:00,6,1.3162685230387984e+26
2025-10-16 00:00:00,7,1.3188458202121141e+26
2025-10-16 00:00:00,8,1.3137369053168895e+26
2025-10-16 00:00:00,9,1.3155382423046003e+26
2025-10-16 00:00:00,10,1.3149054402428451e+26
2025-10-16 00:00:00,11,1.3128045716729479e+26
2025-10-16 00:00:00,12,1.3157684885808222e+26
2025-10-16 00:00:00,13,1.3150776184356138e+26
2025-10-16 00:00:00,14,1.3171526943707896e+26
2025-10-16 00:00:00,15,1.3165314656031934e+26
2025-10-16 00:00:00,16,1.3222380863880019e+26
2025-10-16 00:00:00,17,1.3201443846664384e+26
2025-10-16 00:00:00,18,1.319553658113257e+26
2025-10-16 00:00:00,19,1.3201204485974988e+26
2025-10-16 00:00:00,20,1.3235715123094083e+26
2025-10-16 00:00:00,21,1.3127504435795577e+26
2025-10-16 00:00:00,22,1.3148406252812682e+26
2025-10-16 00:00:00,23,1.3157170990953128e+26
2025-10-16 00:00:00,24,1.3188973235564665e+26
2025-10-16 00:00:00,25,1.317690746051568e+26
2025-10-16 00:00:00,26,1.3173214716685125e+26
2025-10-16 00:00:00,27,1.323776479588525e+26
2025-10-16 00:00:00,28,1.318343474221418e+26
2025-10-16 00:00:00,29,1.3242550331563086e+26
2025-10-16 00:00:00,30,1.3130054937664171e+26
2025-10-16 00:00:00,31,1.3123845621444423e+26
2025-10-16 00:00:00,32,1.3177239964536215e+26
2025-10-16 00:00:00,33,1.31860306939581e+26
2025-10-16 00:00:00,34,1.3181231933372443e+26
2025-10-16 00:00:00,35,1.3159993502173016e+26
2025-10-16 00:00:00,36,1.3164905446891226e+26
2025-10-16 00:00:00,37,1.3201843901773223e+26
2025-10-16 00:00:00,38,1.3195806849075677e+26
2025-10-16 00:00:00,39,1.3163398389542041e+26
2025-10-16 00:00:00,40,1.3135835031524145e+26
2025-10-16 00:00:00,41,1.3140465721350826e+26
2025-10-16 00:00:00,42,1.322115367077814e+26
2025-10-16 00:00:00,43,1.319156717515795e+26
2025-10-16 00:00:00,44,1.3148789315182155e+26
2025-10-16 00:00:00,45,1.3160071546294975e+26
2025-10-16 00:00:00,46,1.3128147195077729e+26
2025-10-16 00:00:00,47,1.319133137996652e+26
2025-10-16 00:00:00,48,1.3140912807138594e+26
2025-10-16 00:00:00,49,1.3204206659541356e+26
2025-10-16 00:00:00,50,1.3117342378159025e+26
2025-10-16 06:00:00,1,1.3125919760119744e+26
2025-10-16 06:00:00,2,1.3171441654572313e+26
