month,a,b
1,9.382875562910168e+24,0.9051129435837342
2,1.0588531227671033e+25,0.8988162065665063
3,5.505686821877303e+24,0.9483322295804192
4,-7.383372053347718e+24,1.0478377836184336
5,-7.278634532416358e+23,1.0188282367924062
6,6.384715605850482e+24,0.9669546231245145
7,1.4040975175930383e+25,0.8684343763643354
8,2.5567302277220183e+25,0.7534363657504333
9,-3.713719944540866e+24,1.0447603892263324
10,2.3419391915405768e+24,1.0075034536137046
11,3.2669877460508245e+24,1.0034309120580676
12,3.920884404480154e+25,0.7597468663932808
