month,n,r2,bias,mae
1,620,0.9664209125079406,-20117072625.135483,1.6301534171673333e+24
2,568,0.9768631608492278,24166752602.140846,1.3762260767336605e+24
3,620,0.9647452636851,-50819161424.92903,1.8819931255375435e+24
4,600,0.9738197833210698,30122037302.613335,1.3308304810553703e+24
5,620,0.9836943777567385,2327595179.767742,1.0668620881100501e+24
6,600,0.9944105059841413,286331153.06666666,1.0650299394138844e+24
7,620,0.9488443647530013,-6096082613.67742,2.3304370854188704e+24
8,620,0.8604579294855956,997540791.3290323,2.3120086002351677e+24
9,600,0.8982135709749807,-43780033303.89333,2.626180411345497e+24
10,620,0.9061826431814097,-54033459530.32258,3.2433734894439296e+24
11,600,0.7858229973125483,-39971828968.10667,3.1393046822879694e+24
12,620,0.9007671218783548,183990857067.35483,1.9320320222853076e+24
